,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,counter,name
218272,2008,1,12,6,1800.0,1757,537.0,548,UA,3,N215UA,457.0,471.0,437.0,-11.0,3.0,KOA,ORD,4213,7.0,13.0,0,,0,,,,,,2108,Kona International At Keahole Airport
218274,2008,1,19,6,1752.0,1757,547.0,548,UA,3,N213UA,475.0,471.0,460.0,-1.0,-5.0,KOA,ORD,4213,6.0,9.0,0,,0,,,,,,2108,Kona International At Keahole Airport
218276,2008,1,26,6,1755.0,1757,534.0,548,UA,3,N213UA,459.0,471.0,443.0,-14.0,-2.0,KOA,ORD,4213,6.0,10.0,0,,0,,,,,,2108,Kona International At Keahole Airport
218282,2008,1,5,6,1642.0,1606,1726.0,1645,UA,3,N214UA,44.0,39.0,31.0,41.0,36.0,OGG,KOA,84,3.0,10.0,0,,0,0.0,0.0,7.0,0.0,34.0,3283,Kahului Airport
218285,2008,1,12,6,1621.0,1605,1657.0,1642,UA,3,N215UA,36.0,37.0,22.0,15.0,16.0,OGG,KOA,84,3.0,11.0,0,,0,15.0,0.0,0.0,0.0,0.0,3283,Kahului Airport
218287,2008,1,19,6,1558.0,1605,1635.0,1642,UA,3,N213UA,37.0,37.0,22.0,-7.0,-7.0,OGG,KOA,84,3.0,12.0,0,,0,,,,,,3283,Kahului Airport
218289,2008,1,26,6,1559.0,1605,1634.0,1642,UA,3,N213UA,35.0,37.0,20.0,-8.0,-6.0,OGG,KOA,84,5.0,10.0,0,,0,,,,,,3283,Kahului Airport
218295,2008,1,5,6,1019.0,954,1545.0,1501,UA,3,N214UA,566.0,547.0,522.0,44.0,25.0,ORD,OGG,4184,5.0,39.0,0,,0,25.0,0.0,19.0,0.0,0.0,51439,Chicago O'Hare International Airport
218298,2008,1,12,6,956.0,955,1505.0,1503,UA,3,N215UA,549.0,548.0,517.0,2.0,1.0,ORD,OGG,4184,5.0,27.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218300,2008,1,19,6,1031.0,955,1500.0,1503,UA,3,N213UA,509.0,548.0,484.0,-3.0,36.0,ORD,OGG,4184,5.0,20.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218302,2008,1,26,6,955.0,955,1444.0,1503,UA,3,N213UA,529.0,548.0,502.0,-19.0,0.0,ORD,OGG,4184,5.0,22.0,0,,0,,,,,,51439,Chicago O'Hare International Airport
218308,2008,1,5,6,937.0,610,1803.0,1443,UA,4,N641UA,326.0,333.0,292.0,200.0,207.0,SFO,JFK,2586,13.0,21.0,0,,0,200.0,0.0,0.0,0.0,0.0,20443,San Francisco International Airport
218315,2008,1,12,6,557.0,600,1446.0,1424,UA,4,N517UA,349.0,324.0,302.0,22.0,-3.0,SFO,JFK,2586,4.0,43.0,0,,0,0.0,0.0,22.0,0.0,0.0,20443,San Francisco International Airport
218321,2008,1,19,6,606.0,600,1408.0,1424,UA,4,N648UA,302.0,324.0,284.0,-16.0,6.0,SFO,JFK,2586,3.0,15.0,0,,0,,,,,,20443,San Francisco International Airport
218327,2008,1,26,6,559.0,600,1437.0,1424,UA,4,N542UA,338.0,324.0,302.0,13.0,-1.0,SFO,JFK,2586,5.0,31.0,0,,0,,,,,,20443,San Francisco International Airport
218336,2008,1,5,6,618.0,600,959.0,932,UA,5,N558UA,401.0,392.0,363.0,27.0,18.0,JFK,SFO,2586,18.0,20.0,0,,0,18.0,0.0,9.0,0.0,0.0,13530,John F Kennedy International Airport
218343,2008,1,12,6,600.0,605,905.0,941,UA,5,N512UA,365.0,396.0,347.0,-36.0,-5.0,JFK,SFO,2586,5.0,13.0,0,,0,,,,,,13530,John F Kennedy International Airport
218349,2008,1,19,6,603.0,605,932.0,941,UA,5,N560UA,389.0,396.0,357.0,-9.0,-2.0,JFK,SFO,2586,9.0,23.0,0,,0,,,,,,13530,John F Kennedy International Airport
218355,2008,1,26,6,601.0,605,940.0,941,UA,5,N560UA,399.0,396.0,359.0,-1.0,-4.0,JFK,SFO,2586,14.0,26.0,0,,0,,,,,,13530,John F Kennedy International Airport
218364,2008,1,5,6,801.0,800,1555.0,1638,UA,6,N554UA,294.0,338.0,275.0,-43.0,1.0,SFO,JFK,2586,7.0,12.0,0,,0,,,,,,20443,San Francisco International Airport
218371,2008,1,12,6,753.0,800,1610.0,1624,UA,6,N508UA,317.0,324.0,295.0,-14.0,-7.0,SFO,JFK,2586,4.0,18.0,0,,0,,,,,,20443,San Francisco International Airport
218378,2008,1,19,6,757.0,800,1628.0,1624,UA,6,N510UA,331.0,324.0,300.0,4.0,-3.0,SFO,JFK,2586,6.0,25.0,0,,0,,,,,,20443,San Francisco International Airport
218385,2008,1,26,6,846.0,800,1742.0,1624,UA,6,N504UA,356.0,324.0,300.0,78.0,46.0,SFO,JFK,2586,6.0,50.0,0,,0,46.0,0.0,32.0,0.0,0.0,20443,San Francisco International Airport
218394,2008,1,5,6,720.0,715,1105.0,1047,UA,7,N502UA,405.0,392.0,378.0,18.0,5.0,JFK,SFO,2586,9.0,18.0,0,,0,0.0,0.0,18.0,0.0,0.0,13530,John F Kennedy International Airport
218399,2008,1,5,6,935.0,935,1804.0,1805,UA,8,N517UA,329.0,330.0,283.0,-1.0,0.0,SFO,JFK,2586,10.0,36.0,0,,0,,,,,,20443,San Francisco International Airport
218406,2008,1,12,6,936.0,925,1817.0,1749,UA,8,N557UA,341.0,324.0,304.0,28.0,11.0,SFO,JFK,2586,6.0,31.0,0,,0,11.0,0.0,17.0,0.0,0.0,20443,San Francisco International Airport
218413,2008,1,19,6,1013.0,925,1858.0,1749,UA,8,N560UA,345.0,324.0,309.0,69.0,48.0,SFO,JFK,2586,15.0,21.0,0,,0,0.0,0.0,21.0,0.0,48.0,20443,San Francisco International Airport
218420,2008,1,26,6,924.0,925,1758.0,1749,UA,8,N557UA,334.0,324.0,293.0,9.0,-1.0,SFO,JFK,2586,8.0,33.0,0,,0,,,,,,20443,San Francisco International Airport
218430,2008,1,5,6,2205.0,2107,142.0,54,UA,9,N557UA,397.0,407.0,371.0,48.0,58.0,JFK,SFO,2586,4.0,22.0,0,,0,0.0,0.0,0.0,0.0,48.0,13530,John F Kennedy International Airport
218458,2008,1,5,6,1359.0,1330,2234.0,2208,UA,10,N505UA,335.0,338.0,305.0,26.0,29.0,SFO,JFK,2586,8.0,22.0,0,,0,26.0,0.0,0.0,0.0,0.0,20443,San Francisco International Airport
218486,2008,1,5,6,1155.0,1115,1543.0,1444,UA,11,N512UA,408.0,389.0,384.0,59.0,40.0,JFK,SFO,2586,7.0,17.0,0,,0,40.0,0.0,19.0,0.0,0.0,13530,John F Kennedy International Airport
218493,2008,1,12,6,1108.0,1110,1410.0,1444,UA,11,N502UA,362.0,394.0,334.0,-34.0,-2.0,JFK,SFO,2586,5.0,23.0,0,,0,,,,,,13530,John F Kennedy International Airport
218500,2008,1,19,6,1115.0,1110,1427.0,1444,UA,11,N512UA,372.0,394.0,351.0,-17.0,5.0,JFK,SFO,2586,6.0,15.0,0,,0,,,,,,13530,John F Kennedy International Airport
218507,2008,1,26,6,1415.0,1110,1729.0,1444,UA,11,N505UA,374.0,394.0,354.0,165.0,185.0,JFK,SFO,2586,6.0,14.0,0,,0,165.0,0.0,0.0,0.0,0.0,13530,John F Kennedy International Airport
218517,2008,1,5,6,1411.0,1255,1558.0,1423,UA,12,N935UA,107.0,88.0,63.0,95.0,76.0,SFO,SAN,447,4.0,40.0,0,,0,76.0,0.0,19.0,0.0,0.0,20443,San Francisco International Airport
218523,2008,1,5,6,1702.0,1555,52.0,18,UA,14,N512UA,290.0,323.0,275.0,34.0,67.0,SFO,JFK,2586,5.0,10.0,0,,0,15.0,0.0,0.0,0.0,19.0,20443,San Francisco International Airport
218551,2008,1,5,6,1856.0,1540,2311.0,1909,UA,15,N641UA,435.0,389.0,387.0,242.0,196.0,JFK,SFO,2586,4.0,44.0,0,,0,0.0,0.0,49.0,0.0,193.0,13530,John F Kennedy International Airport
218558,2008,1,12,6,1537.0,1535,1853.0,1909,UA,15,N517UA,376.0,394.0,346.0,-16.0,2.0,JFK,SFO,2586,3.0,27.0,0,,0,,,,,,13530,John F Kennedy International Airport
218565,2008,1,19,6,,1535,,1909,UA,15,,,394.0,,,,JFK,SFO,2586,,,1,A,0,,,,,,13530,John F Kennedy International Airport
218572,2008,1,26,6,1532.0,1535,1903.0,1909,UA,15,N542UA,391.0,394.0,364.0,-6.0,-3.0,JFK,SFO,2586,6.0,21.0,0,,0,,,,,,13530,John F Kennedy International Airport
218582,2008,1,5,6,2344.0,2230,815.0,653,UA,16,N560UA,331.0,323.0,291.0,82.0,74.0,SFO,JFK,2586,7.0,33.0,0,,0,9.0,0.0,8.0,0.0,65.0,20443,San Francisco International Airport
218588,2008,1,5,6,1815.0,1740,2245.0,2115,UA,17,N560UA,450.0,395.0,376.0,90.0,35.0,JFK,SFO,2586,3.0,71.0,0,,0,0.0,0.0,87.0,0.0,3.0,13530,John F Kennedy International Airport
218595,2008,1,12,6,1741.0,1745,2105.0,2119,UA,17,N510UA,384.0,394.0,340.0,-14.0,-4.0,JFK,SFO,2586,4.0,40.0,0,,0,,,,,,13530,John F Kennedy International Airport
218602,2008,1,19,6,1746.0,1745,2122.0,2119,UA,17,N510UA,396.0,394.0,368.0,3.0,1.0,JFK,SFO,2586,6.0,22.0,0,,0,,,,,,13530,John F Kennedy International Airport
218609,2008,1,26,6,1837.0,1745,2201.0,2119,UA,17,N504UA,384.0,394.0,351.0,42.0,52.0,JFK,SFO,2586,5.0,28.0,0,,0,0.0,0.0,0.0,0.0,42.0,13530,John F Kennedy International Airport
218619,2008,1,5,6,759.0,800,914.0,920,UA,18,N848UA,75.0,80.0,59.0,-6.0,-1.0,ABQ,DEN,349,6.0,10.0,0,,0,,,,,,6216,Albuquerque International Sunport Airport
218625,2008,1,5,6,1959.0,1955,2349.0,2342,UA,19,N555UA,410.0,407.0,368.0,7.0,4.0,JFK,SFO,2586,8.0,34.0,0,,0,,,,,,13530,John F Kennedy International Airport
218653,2008,1,5,6,615.0,615,1416.0,1431,UA,20,N518UA,301.0,316.0,282.0,-15.0,0.0,LAX,JFK,2475,4.0,15.0,0,,0,,,,,,32611,Los Angeles International Airport
218659,2008,1,5,6,,950,,1200,UA,21,,,190.0,,,,ORD,JAC,1162,,,1,B,0,,,,,,51439,Chicago O'Hare International Airport
218665,2008,1,5,6,825.0,825,1653.0,1648,UA,22,N560UA,328.0,323.0,288.0,5.0,0.0,LAX,JFK,2475,8.0,32.0,0,,0,,,,,,32611,Los Angeles International Airport
218672,2008,1,12,6,807.0,812,1617.0,1624,UA,22,N510UA,310.0,312.0,283.0,-7.0,-5.0,LAX,JFK,2475,11.0,16.0,0,,0,,,,,,32611,Los Angeles International Airport
218679,2008,1,19,6,918.0,812,1724.0,1624,UA,22,N525UA,306.0,312.0,283.0,60.0,66.0,LAX,JFK,2475,11.0,12.0,0,,0,60.0,0.0,0.0,0.0,0.0,32611,Los Angeles International Airport
218686,2008,1,26,6,809.0,812,1623.0,1624,UA,22,N532UA,314.0,312.0,279.0,-1.0,-3.0,LAX,JFK,2475,13.0,22.0,0,,0,,,,,,32611,Los Angeles International Airport
218696,2008,1,5,6,829.0,830,1215.0,1159,UA,23,N557UA,406.0,389.0,363.0,16.0,-1.0,JFK,LAX,2475,14.0,29.0,0,,0,0.0,0.0,16.0,0.0,0.0,13530,John F Kennedy International Airport
218703,2008,1,12,6,831.0,838,1128.0,1204,UA,23,N505UA,357.0,386.0,314.0,-36.0,-7.0,JFK,LAX,2475,8.0,35.0,0,,0,,,,,,13530,John F Kennedy International Airport
218710,2008,1,19,6,,838,,1204,UA,23,,,386.0,,,,JFK,LAX,2475,,,1,A,0,,,,,,13530,John F Kennedy International Airport
218717,2008,1,26,6,828.0,838,1232.0,1204,UA,23,N512UA,424.0,386.0,372.0,28.0,-10.0,JFK,LAX,2475,19.0,33.0,0,,0,0.0,0.0,28.0,0.0,0.0,13530,John F Kennedy International Airport
218727,2008,1,5,6,2148.0,2031,2328.0,2157,UA,24,N466UA,160.0,146.0,146.0,91.0,77.0,DEN,BUR,850,4.0,10.0,0,,0,0.0,0.0,14.0,0.0,77.0,36858,Denver International Airport
218738,2008,1,5,6,,1125,,1437,UA,25,,,372.0,,,,JFK,LAX,2475,,,1,A,0,,,,,,13530,John F Kennedy International Airport
218748,2008,1,5,6,1527.0,1525,1852.0,1848,UA,27,N518UA,385.0,383.0,360.0,4.0,2.0,JFK,LAX,2475,5.0,20.0,0,,0,,,,,,13530,John F Kennedy International Airport
218755,2008,1,12,6,1551.0,1525,1858.0,1846,UA,27,N555UA,367.0,381.0,329.0,12.0,26.0,JFK,LAX,2475,7.0,31.0,0,,0,,,,,,13530,John F Kennedy International Airport
218762,2008,1,19,6,1537.0,1525,1840.0,1846,UA,27,N555UA,363.0,381.0,338.0,-6.0,12.0,JFK,LAX,2475,7.0,18.0,0,,0,,,,,,13530,John F Kennedy International Airport
218769,2008,1,26,6,1523.0,1525,1838.0,1846,UA,27,N555UA,375.0,381.0,354.0,-8.0,-2.0,JFK,LAX,2475,5.0,16.0,0,,0,,,,,,13530,John F Kennedy International Airport
218779,2008,1,5,6,1750.0,1600,137.0,12,UA,28,N510UA,287.0,312.0,264.0,85.0,110.0,LAX,JFK,2475,4.0,19.0,0,,0,85.0,0.0,0.0,0.0,0.0,32611,Los Angeles International Airport
218807,2008,1,5,6,1925.0,1900,2307.0,2246,UA,29,N517UA,402.0,406.0,363.0,21.0,25.0,JFK,LAX,2475,18.0,21.0,0,,0,0.0,0.0,21.0,0.0,0.0,13530,John F Kennedy International Airport
218835,2008,1,5,6,2159.0,2201,605.0,613,UA,30,N518UA,306.0,312.0,266.0,-8.0,-2.0,LAX,JFK,2475,26.0,14.0,0,,0,,,,,,32611,Los Angeles International Airport
218842,2008,1,12,6,2221.0,2210,620.0,617,UA,30,N508UA,299.0,307.0,277.0,3.0,11.0,LAX,JFK,2475,8.0,14.0,0,,0,,,,,,32611,Los Angeles International Airport
218849,2008,1,19,6,2206.0,2210,556.0,617,UA,30,N555UA,290.0,307.0,271.0,-21.0,-4.0,LAX,JFK,2475,4.0,15.0,0,,0,,,,,,32611,Los Angeles International Airport
218856,2008,1,26,6,2208.0,2210,614.0,617,UA,30,N532UA,306.0,307.0,275.0,-3.0,-2.0,LAX,JFK,2475,7.0,24.0,0,,0,,,,,,32611,Los Angeles International Airport
218866,2008,1,5,6,956.0,808,1134.0,1025,UA,31,N364UA,218.0,257.0,203.0,69.0,108.0,BWI,DEN,1491,7.0,8.0,0,,0,69.0,0.0,0.0,0.0,0.0,16507,Baltimore/Washington International Thurgood Marshal Airport
218872,2008,1,5,6,1217.0,1115,1430.0,1300,UA,31,N582UA,193.0,165.0,157.0,90.0,62.0,DEN,SFO,967,10.0,26.0,0,,0,0.0,0.0,90.0,0.0,0.0,36858,Denver International Airport
218879,2008,1,12,6,557.0,600,756.0,804,UA,31,N539UA,119.0,124.0,101.0,-8.0,-3.0,SEA,SFO,679,5.0,13.0,0,,0,,,,,,12064,Seattle Tacoma International Airport
218886,2008,1,19,6,600.0,600,802.0,804,UA,31,N582UA,122.0,124.0,97.0,-2.0,0.0,SEA,SFO,679,10.0,15.0,0,,0,,,,,,12064,Seattle Tacoma International Airport
218893,2008,1,26,6,557.0,600,808.0,804,UA,31,N577UA,131.0,124.0,110.0,4.0,-3.0,SEA,SFO,679,8.0,13.0,0,,0,,,,,,12064,Seattle Tacoma International Airport
218904,2008,1,12,6,842.0,855,1221.0,1224,UA,31,N669UA,339.0,329.0,319.0,-3.0,-13.0,SFO,OGG,2338,5.0,15.0,0,,0,,,,,,20443,San Francisco International Airport
218911,2008,1,19,6,853.0,855,1153.0,1224,UA,31,N670UA,300.0,329.0,284.0,-31.0,-2.0,SFO,OGG,2338,4.0,12.0,0,,0,,,,,,20443,San Francisco International Airport
218918,2008,1,26,6,854.0,855,1202.0,1224,UA,31,N674UA,308.0,329.0,288.0,-22.0,-1.0,SFO,OGG,2338,4.0,16.0,0,,0,,,,,,20443,San Francisco International Airport
218928,2008,1,5,6,,2355,,807,UA,32,,,312.0,,,,LAX,JFK,2475,,,1,A,0,,,,,,32611,Los Angeles International Airport
218934,2008,1,5,6,2049.0,2040,20.0,26,UA,33,N508UA,391.0,406.0,351.0,-6.0,9.0,JFK,LAX,2475,11.0,29.0,0,,0,,,,,,13530,John F Kennedy International Airport
218940,2008,1,5,6,1334.0,1335,2019.0,2017,UA,34,N212UA,285.0,282.0,261.0,2.0,-1.0,OGG,SFO,2338,13.0,11.0,0,,0,,,,,,3283,Kahului Airport
218947,2008,1,12,6,1333.0,1339,1955.0,2024,UA,34,N669UA,262.0,285.0,246.0,-29.0,-6.0,OGG,SFO,2338,6.0,10.0,0,,0,,,,,,3283,Kahului Airport
218954,2008,1,19,6,1336.0,1339,2029.0,2024,UA,34,N670UA,293.0,285.0,280.0,5.0,-3.0,OGG,SFO,2338,5.0,8.0,0,,0,,,,,,3283,Kahului Airport
218961,2008,1,26,6,1327.0,1339,2029.0,2024,UA,34,N674UA,302.0,285.0,281.0,5.0,-12.0,OGG,SFO,2338,9.0,12.0,0,,0,,,,,,3283,Kahului Airport
218972,2008,1,12,6,2210.0,2215,620.0,636,UA,34,N510UA,310.0,321.0,288.0,-16.0,-5.0,SFO,JFK,2586,11.0,11.0,0,,0,,,,,,20443,San Francisco International Airport
218979,2008,1,19,6,2217.0,2215,627.0,636,UA,34,N512UA,310.0,321.0,280.0,-9.0,2.0,SFO,JFK,2586,9.0,21.0,0,,0,,,,,,20443,San Francisco International Airport
218986,2008,1,26,6,2220.0,2215,619.0,636,UA,34,N542UA,299.0,321.0,282.0,-17.0,5.0,SFO,JFK,2586,5.0,12.0,0,,0,,,,,,20443,San Francisco International Airport
218992,2008,1,19,6,1104.0,930,1410.0,1256,UA,35,N511UA,366.0,386.0,345.0,74.0,94.0,JFK,LAX,2475,6.0,15.0,0,,0,74.0,0.0,0.0,0.0,0.0,13530,John F Kennedy International Airport
218993,2008,1,26,6,927.0,930,1304.0,1256,UA,35,N510UA,397.0,386.0,363.0,8.0,-3.0,JFK,LAX,2475,7.0,27.0,0,,0,,,,,,13530,John F Kennedy International Airport
218998,2008,1,5,6,903.0,900,1216.0,1219,UA,35,N212UA,313.0,319.0,299.0,-3.0,3.0,SFO,OGG,2338,4.0,10.0,0,,0,,,,,,20443,San Francisco International Airport
219004,2008,1,5,6,2238.0,2225,513.0,515,UA,36,N672UA,275.0,290.0,257.0,-2.0,13.0,OGG,SFO,2338,4.0,14.0,0,,0,,,,,,3283,Kahului Airport
219011,2008,1,12,6,2223.0,2230,444.0,515,UA,36,N549UA,261.0,285.0,247.0,-31.0,-7.0,OGG,SFO,2338,5.0,9.0,0,,0,,,,,,3283,Kahului Airport
219018,2008,1,19,6,241.0,2230,943.0,515,UA,36,N677UA,302.0,285.0,285.0,268.0,251.0,OGG,SFO,2338,3.0,14.0,0,,0,0.0,0.0,17.0,0.0,251.0,3283,Kahului Airport
219025,2008,1,26,6,2225.0,2230,518.0,515,UA,36,N595UA,293.0,285.0,277.0,3.0,-5.0,OGG,SFO,2338,6.0,10.0,0,,0,,,,,,3283,Kahului Airport
219036,2008,1,12,6,639.0,645,807.0,812,UA,36,N382UA,88.0,87.0,69.0,-5.0,-6.0,SFO,SAN,447,2.0,17.0,0,,0,,,,,,20443,San Francisco International Airport
219043,2008,1,19,6,737.0,645,905.0,812,UA,36,N334UA,88.0,87.0,72.0,53.0,52.0,SFO,SAN,447,3.0,13.0,0,,0,52.0,0.0,1.0,0.0,0.0,20443,San Francisco International Airport
219050,2008,1,26,6,640.0,645,804.0,812,UA,36,N310UA,84.0,87.0,68.0,-8.0,-5.0,SFO,SAN,447,6.0,10.0,0,,0,,,,,,20443,San Francisco International Airport
219061,2008,1,12,6,827.0,802,1115.0,1104,UA,37,N531UA,348.0,362.0,329.0,11.0,25.0,MCO,SFO,2445,7.0,12.0,0,,0,,,,,,18632,Orlando International Airport
219068,2008,1,19,6,830.0,802,1112.0,1104,UA,37,N538UA,342.0,362.0,317.0,8.0,28.0,MCO,SFO,2445,4.0,21.0,0,,0,,,,,,18632,Orlando International Airport
219075,2008,1,26,6,,802,,1104,UA,37,,,362.0,,,,MCO,SFO,2445,,,1,B,0,,,,,,18632,Orlando International Airport
219085,2008,1,5,6,1341.0,1250,1709.0,1618,UA,37,N672UA,328.0,328.0,306.0,51.0,51.0,SFO,OGG,2338,6.0,16.0,0,,0,0.0,0.0,51.0,0.0,0.0,20443,San Francisco International Airport
219092,2008,1,12,6,1254.0,1255,1631.0,1630,UA,37,N597UA,337.0,335.0,318.0,1.0,-1.0,SFO,OGG,2338,4.0,15.0,0,,0,,,,,,20443,San Francisco International Airport
219099,2008,1,19,6,1253.0,1255,1608.0,1630,UA,37,N551UA,315.0,335.0,280.0,-22.0,-2.0,SFO,OGG,2338,13.0,22.0,0,,0,,,,,,20443,San Francisco International Airport
219106,2008,1,26,6,1255.0,1255,1621.0,1630,UA,37,N543UA,326.0,335.0,286.0,-9.0,0.0,SFO,OGG,2338,6.0,34.0,0,,0,,,,,,20443,San Francisco International Airport
219116,2008,1,5,6,,2335,,625,UA,38,,,290.0,,,,OGG,SFO,2338,,,1,A,0,,,,,,3283,Kahului Airport
219141,2008,1,5,6,1925.0,1852,2300.0,2220,UA,39,N668UA,335.0,328.0,312.0,40.0,33.0,SFO,OGG,2338,4.0,19.0,0,,0,33.0,0.0,7.0,0.0,0.0,20443,San Francisco International Airport
219143,2008,1,5,6,3.0,2355,535.0,534,UA,40,N586UA,212.0,219.0,196.0,1.0,8.0,SEA,ORD,1721,6.0,10.0,0,,0,,,,,,12064,Seattle Tacoma International Airport
219148,2008,1,5,6,919.0,915,1317.0,1259,UA,41,N664UA,358.0,344.0,337.0,18.0,4.0,SFO,LIH,2447,7.0,14.0,0,,0,0.0,0.0,18.0,0.0,0.0,20443,San Francisco International Airport
219155,2008,1,12,6,851.0,850,1256.0,1238,UA,41,N547UA,365.0,348.0,341.0,18.0,1.0,SFO,LIH,2447,4.0,20.0,0,,0,0.0,0.0,18.0,0.0,0.0,20443,San Francisco International Airport
219162,2008,1,19,6,855.0,850,1201.0,1238,UA,41,N548UA,306.0,348.0,285.0,-37.0,5.0,SFO,LIH,2447,5.0,16.0,0,,0,,,,,,20443,San Francisco International Airport
219169,2008,1,26,6,847.0,850,1201.0,1238,UA,41,N590UA,314.0,348.0,290.0,-37.0,-3.0,SFO,LIH,2447,5.0,19.0,0,,0,,,,,,20443,San Francisco International Airport
219180,2008,1,12,6,1019.0,1019,1511.0,1516,UA,42,N202UA,172.0,177.0,145.0,-5.0,0.0,DEN,ATL,1199,10.0,17.0,0,,0,,,,,,36858,Denver International Airport
219187,2008,1,19,6,1356.0,1019,1838.0,1516,UA,42,N371UA,162.0,177.0,142.0,202.0,217.0,DEN,ATL,1199,6.0,14.0,0,,0,0.0,0.0,202.0,0.0,0.0,36858,Denver International Airport
219194,2008,1,26,6,1015.0,1019,1448.0,1516,UA,42,N938UA,153.0,177.0,135.0,-28.0,-4.0,DEN,ATL,1199,5.0,13.0,0,,0,,,,,,36858,Denver International Airport
219204,2008,1,5,6,2309.0,2250,821.0,824,UA,42,N213UA,372.0,394.0,347.0,-3.0,19.0,HNL,DEN,3365,7.0,18.0,0,,0,,,,,,8988,Honolulu International Airport
219211,2008,1,12,6,2318.0,2315,843.0,901,UA,42,N677UA,385.0,406.0,358.0,-18.0,3.0,HNL,DEN,3365,7.0,20.0,0,,0,,,,,,8988,Honolulu International Airport
219218,2008,1,19,6,2308.0,2315,901.0,901,UA,42,N674UA,413.0,406.0,392.0,0.0,-7.0,HNL,DEN,3365,5.0,16.0,0,,0,,,,,,8988,Honolulu International Airport
219225,2008,1,26,6,2315.0,2315,853.0,901,UA,42,N670UA,398.0,406.0,376.0,-8.0,0.0,HNL,DEN,3365,7.0,15.0,0,,0,,,,,,8988,Honolulu International Airport
219236,2008,1,12,6,828.0,836,1016.0,1030,UA,43,N925UA,228.0,234.0,195.0,-14.0,-8.0,CLT,DEN,1337,13.0,20.0,0,,0,,,,,,20299,Charlotte Douglas International Airport
219243,2008,1,19,6,827.0,836,1016.0,1030,UA,43,N367UA,229.0,234.0,202.0,-14.0,-9.0,CLT,DEN,1337,9.0,18.0,0,,0,,,,,,20299,Charlotte Douglas International Airport
